ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2020-04-30 09:24:23 094m





Relative time;HS4-50(17297).Kladivko;HS4-50(17297).Snimac1;HS4-50(17297).Snimac2
s;V;V;V
-0.05000192;7.6E-5;0.00021;0.0078
-0.0499968;2.5E-5;0.0002;0.0076
-0.04999168;0;0.00019;0.0076
-0.04998656;2.5E-5;0.00013;0.0086
-0.04998144;5.1E-5;0.00013;0.0076
-0.04997632;2.5E-5;8.2E-5;0.0068
-0.0499712;0;0.00016;0.0076
-0.04996608;-2.5E-5;0.00013;0.0083
-0.04996096;0;0.00014;0.0081
-0.04995584;0;0.00014;0.0083
-0.04995072;-2.5E-5;6.9E-5;0.0086
-0.0499456;-0.0001;0.0001;0.0076
-0.04994048;2.5E-5;0.00013;0.0078
-0.04993536;-2.5E-5;8.8E-5;0.0081
-0.04993024;7.6E-5;0.00015;0.0078
-0.04992512;0;0.00011;0.0086
-0.04992;2.5E-5;0.00014;0.0076
-0.04991488;7.6E-5;0.00014;0.0081
-0.04990976;-2.5E-5;0.00013;0.0076
-0.04990464;-2.5E-5;0.00011;0.0073
-0.04989952;2.5E-5;0.00021;0.0073
-0.0498944;-2.5E-5;0.00022;0.0081
-0.04988928;-2.5E-5;0.00026;0.0083
-0.04988416;0.00015;0.00023;0.0081
-0.04987904;7.6E-5;0.00015;0.0081
-0.04987392;0.00013;0.00012;0.0073
-0.0498688;5.1E-5;0.00016;0.0076
-0.04986368;5.1E-5;0.00018;0.0078
-0.04985856;-5.1E-5;0.00028;0.0083
-0.04985344;-2.5E-5;0.00035;0.0088
-0.04984832;2.5E-5;0.00036;0.0078
-0.0498432;5.1E-5;0.00031;0.0083
-0.04983808;2.5E-5;0.00021;0.0083
-0.04983296;-2.5E-5;0.00018;0.0083
-0.04982784;0.0001;0.00023;0.0078
-0.04982272;-5.1E-5;0.00027;0.0073
-0.0498176;-2.5E-5;0.00024;0.0083
-0.04981248;-7.6E-5;0.0002;0.0078
-0.04980736;0;0.00018;0.0081
-0.04980224;0;0.00023;0.0081
-0.04979712;2.5E-5;0.0002;0.0083
-0.049792;7.6E-5;0.00018;0.0081
-0.04978688;5.1E-5;0.00018;0.0081
-0.04978176;5.1E-5;0.00019;0.0083
-0.04977664;-2.5E-5;0.00015;0.0086
-0.04977152;7.6E-5;0.00014;0.0078
-0.0497664;2.5E-5;0.00016;0.0081
-0.04976128;-2.5E-5;0.00021;0.0078
-0.04975616;0;0.00027;0.0078
-0.04975104;0;0.0003;0.0081
-0.04974592;5.1E-5;0.00024;0.0078
-0.0497408;0.00013;0.00017;0.0078
-0.04973568;2.5E-5;0.00011;0.0081
-0.04973056;-2.5E-5;0.00022;0.0076
-0.04972544;2.5E-5;0.00029;0.0076
-0.04972032;2.5E-5;0.00028;0.0083
-0.0497152;-2.5E-5;0.00018;0.0076
-0.04971008;-2.5E-5;0.00018;0.0073
-0.04970496;0.00015;0.00014;0.0078
-0.04969984;0.0001;0.00016;0.0078
-0.04969472;0;0.00017;0.0081
-0.0496896;0.00013;0.00022;0.0078
-0.04968448;5.1E-5;0.00024;0.0073
-0.04967936;5.1E-5;0.0002;0.0078
-0.04967424;-2.5E-5;0.00017;0.0081
-0.04966912;5.1E-5;0.00016;0.0078
-0.049664;-2.5E-5;0.00019;0.0081
-0.04965888;0;0.00018;0.0083
-0.04965376;0.0001;0.00014;0.0081
-0.04964864;2.5E-5;0.00011;0.0086
-0.04964352;0.0001;0.00015;0.0081
-0.0496384;7.6E-5;0.00014;0.0086
-0.04963328;5.1E-5;0.00016;0.0073
-0.04962816;0;0.00014;0.0076
-0.04962304;-7.6E-5;0.00018;0.0076
-0.04961792;0;0.0002;0.0073
-0.0496128;-2.5E-5;0.00025;0.0081
-0.04960768;5.1E-5;0.00019;0.0086
-0.04960256;2.5E-5;0.00012;0.0078
-0.04959744;-5.1E-5;0.00013;0.0076
-0.04959232;-5.1E-5;0.0001;0.0078
-0.0495872;-2.5E-5;9.4E-5;0.0078
-0.04958208;7.6E-5;0.00011;0.0086
-0.04957696;0;0.00012;0.0081
-0.04957184;0;0.00018;0.0081
-0.04956672;0;0.00023;0.0081
-0.0495616;-7.6E-5;0.0002;0.0076
-0.04955648;-0.00013;0.00019;0.0083
-0.04955136;2.5E-5;0.00013;0.0086
-0.04954624;2.5E-5;0.00015;0.0081
-0.04954112;7.6E-5;9.4E-5;0.0081
-0.049536;5.1E-5;0.00011;0.0086
-0.04953088;-5.1E-5;5E-5;0.0078
-0.04952576;0;6.3E-5;0.0078
-0.04952064;-2.5E-5;8.8E-5;0.0076
-0.04951552;-5.1E-5;7.5E-5;0.0081
-0.0495104;0;9.4E-5;0.0078
-0.04950528;-7.6E-5;0.00011;0.0081
-0.04950016;-0.0001;8.8E-5;0.0086
-0.04949504;-5.1E-5;6.9E-5;0.0083
-0.04948992;-2.5E-5;6.3E-5;0.0081
-0.0494848;-2.5E-5;0.00011;0.0083
-0.04947968;0;5.7E-5;0.0083
-0.04947456;-7.6E-5;0.0001;0.0083
-0.04946944;5.1E-5;0.00011;0.0081
-0.04946432;0;0.00014;0.0076
-0.0494592;-7.6E-5;8.8E-5;0.0078
-0.04945408;-7.6E-5;2.5E-5;0.0086
-0.04944896;-5.1E-5;3.1E-5;0.0073
-0.04944384;2.5E-5;6.3E-5;0.0078
-0.04943872;0;9.4E-5;0.0076
-0.0494336;0;0.00016;0.0076
-0.04942848;5.1E-5;0.00019;0.0078
-0.04942336;7.6E-5;0.00016;0.0086
-0.04941824;7.6E-5;0.00014;0.0086
-0.04941312;0;6.3E-5;0.0076
-0.049408;2.5E-5;4.4E-5;0.0083
-0.04940288;7.6E-5;5.7E-5;0.0076
-0.04939776;0;6.3E-6;0.0081
-0.04939264;-2.5E-5;9.4E-5;0.0073
-0.04938752;0;0.00011;0.0073
-0.0493824;-7.6E-5;8.8E-5;0.0076
-0.04937728;2.5E-5;0.00014;0.0081
